관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
48250-102030982,진영휴먼시아,0,621.535,6957.194,6942.688,0,90,0,경상남도 김해시 진영읍 김해대로 462,경상남도 김해시 진영읍 여래리 981
41360-100191610,휴먼시아,0,426.08,8117.351,8101.845,0,109,0,경기도 남양주시 진접읍 금강로 1554-20,경기도 남양주시 진접읍 장현리 703
41360-100211183,휴먼시아,0,569.268,6964.935,6948.24,0,90,0,경기도 남양주시 진접읍 해밀예당3로 67,경기도 남양주시 진접읍 금곡리 1093
41360-100212493,휴먼시아,0,469.647,6083.207,6031.869,0,90,0,경기도 남양주시 진접읍 해밀예당3로 37,경기도 남양주시 진접읍 금곡리 1098
41360-100172210,주공아파트,0,0,1180.645,0,0,0,0,경기도 남양주시 퇴계원읍 퇴계원로 120-11,경기도 남양주시 퇴계원읍 퇴계원리 367
41360-100172610,주공아파트,0,10.56,191.54,0,0,0,0,경기도 남양주시 퇴계원읍 도제원로 116,경기도 남양주시 퇴계원읍 퇴계원리 366
41360-23062, ,0,60.72,60.72,60.72,0,0,1,경기도 남양주시 늘을1로 31,경기도 남양주시 호평동 624
30200-16859,반석마을8단지,0,0,3677.866,0,0,0,0,대전광역시 유성구 반석동로 82,대전광역시 유성구 반석동 623
27710-11521,주공아파트,0,377.52,3997.92,3966.06,0,52,0,대구광역시 달성군 가창면 가창로216길 25,대구광역시 달성군 가창면 용계리 34-2
27710-100191321,서재휴먼시아,0,436.27,5301.826,5301.826,0,97,0,대구광역시 달성군 다사읍 서재로14길 2,대구광역시 달성군 다사읍 서재리 486
27290-15508,장기아파트,0,273.34,236.54,236.54,0,8,0,대구광역시 달서구 용산로 88,대구광역시 달서구 장기동 515
30200-100187208,봉산휴먼시아2단지아파트,0,615.237,9547.131,9424.473,0,109,0,대전광역시 유성구 와룡로136번길 75,대전광역시 유성구 봉산동 298
46110-3897,옥암주공아파트,0,20.25,20.25,20.25,0,0,0,전라남도 목포시 당가두로38번길 11,전라남도 목포시 옥암동 1150
46110-6487,포미타운주공3단지,0,20.25,20.25,20.25,0,0,0,전라남도 목포시 관해로5번길 29,전라남도 목포시 용해동 1032
44180-4289,죽정 주공아파트,0,0,234.52,0,0,0,0,충청남도 보령시 지장골길 37,충청남도 보령시 죽정동 781
26710-100175421,내리휴먼시아,0,410.128,3149.772,3135.066,0,42,0,부산광역시 기장군 기장읍 소정안길 68,부산광역시 기장군 기장읍 내리 768
45800-5132,부안서외주공아파트,0,0,256.74,0,0,0,0,전라북도 부안군 부안읍 부풍로 122,전라북도 부안군 부안읍 서외리 630
48240-100179460,용강2주공아파트,0,348.78,3918.38,3676.48,0,60,0,경상남도 사천시 용강길 37,경상남도 사천시 용강동 920
48240-23340,진사주공아파트,0,14.973,9,9,0,0,0,경상남도 사천시 사남면 조동길 60,경상남도 사천시 사남면 월성리 450
11620-100182305,관악산휴먼시아,0,567.108,10400.152,10247.764,0,178,0,서울특별시 관악구 난곡로 63,서울특별시 관악구 신림동 1735-2
44770-100187473,휴먼시아아파트,0,465.2,5702.54,5702.54,0,90,0,충청남도 서천군 서천읍 사곡로 17,충청남도 서천군 서천읍 사곡리 387
41133-100173862,휴먼시아 섬마을,0,0,3971.378,0,0,0,0,경기도 성남시 중원구 도촌남로 24,경기도 성남시 중원구 도촌동 701
41133-100176668,휴먼시아섬마을,0,0,3046.894,0,0,0,0,경기도 성남시 중원구 도촌남로 69,경기도 성남시 중원구 도촌동 703
41133-100178025,휴먼시아섬마을,0,13.26,13.26,13.26,0,0,0,경기도 성남시 중원구 도촌남로 134,경기도 성남시 중원구 도촌동 707
41133-100174062,휴먼시아섬마을,0,328.86,328.86,328.86,0,0,0,경기도 성남시 중원구 도촌남로 148,경기도 성남시 중원구 도촌동 708
41135-100205483,봇들마을,0,404.991,4221.104,4221.104,0,72,0,경기도 성남시 분당구 대왕판교로644번길 65,경기도 성남시 분당구 삼평동 726
26350-100196087,송정2 휴먼시아,0,515.181,11880.48,11866.27,0,150,0,부산광역시 해운대구 해운대로 1188,부산광역시 해운대구 송정동 934
45770-3964,순창경천주공아파트,0,232.26,232.26,232.26,0,0,0,전라북도 순창군 순창읍 경천1로 102,전라북도 순창군 순창읍 교성리 700
46150-2727,주공아파트,0,307.905,757.998,542.848,2.54,0,0,전라남도 순천시 서면 강청길 80,전라남도 순천시 서면 선평리 202-1
46150-3167,연향주공아파트,0,0,226.94,0,0,0,0,전라남도 순천시 팔마1길 26,전라남도 순천시 연향동 1660-1
41273-100187160,휴먼시아,0,418.362,5178.52,5163.96,0,78,0,경기도 안산시 단원구 삼일로 13,경기도 안산시 단원구 신길동 1509
41273-100194770,휴먼시아,0,404.663,4567.48,4552.08,0,74,0,경기도 안산시 단원구 신길로 94,경기도 안산시 단원구 신길동 1561
41273-100186145,휴먼시아,0,428.868,4382.844,4369.404,0,66,0,경기도 안산시 단원구 신길로 50,경기도 안산시 단원구 신길동 1574
41273-100197698,휴먼시아,0,418.362,5681.78,5667.22,0,88,0,경기도 안산시 단원구 도일로 26,경기도 안산시 단원구 신길동 1684
41271-1335,팔곡마을주공아파트,0,223.453,151.042,151.042,0,0,0,경기도 안산시 상록구 정동1길 7,경기도 안산시 상록구 팔곡일동 681
48330-100182048,양산물금7단지휴먼시아아파트,0,598.55,7893.72,7879.33,0,117,0,경상남도 양산시 양주로 58,경상남도 양산시 남부동 605-1
41630-25902,양주가납 주공아파트,0,0,153.44,0,0,0,0,경기도 양주시 광적면 삼일로65번길 156,경기도 양주시 광적면 석우리 708-1
41630-100190689,산내들마을휴먼시아,0,398.656,4130.824,4078.38,0,56,0,경기도 양주시 고읍로 64,경기도 양주시 고읍동 452
41630-100191071,은빛마을 휴먼시아,0,423.802,4897.681,4883.01,0,84,0,경기도 양주시 고읍북로 78,경기도 양주시 만송동 701
41630-100191679,은빛마을 휴먼시아,0,610.363,6776.055,6761.349,0,100,0,경기도 양주시 고읍북로 120,경기도 양주시 만송동 700
41630-10691,행복한마을,0,132.323,112.563,112.563,0,0,0,경기도 양주시 고암길 172-14,경기도 양주시 고암동 584
41630-100193508,휴먼시아,0,319.99,3210.77,3210.77,0,58,0,경기도 양주시 백석읍 고릉말로46번길 12,경기도 양주시 백석읍 방성리 888
46130-31055,주공3단지아파트,0,20.25,20.25,20.25,0,0,0,전라남도 여수시 덕양로 157,전라남도 여수시 화장동 882
47900-7093,주공아파트,0,207.516,195.7,195.7,0,6,0,경상북도 예천군 예천읍 봉덕로 52,경상북도 예천군 예천읍 대심리 430
41463-100183025,휴먼시아물푸레마을,0,451.112,4287.225,4272.519,0,65,0,경기도 용인시 기흥구 구성3로 37,경기도 용인시 기흥구 청덕동 506
