관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
48129-2100179883,자은주공아파트,0,272.85,528.02,528.02,0,0,0,경상남도 창원시 진해구 진해대로901번길 11,경상남도 창원시 진해구 자은동 909
48740-6239,창녕주공아파트,0,0,283.05,0,0,0,0,경상남도 창녕군 창녕읍 말흘5길 33,경상남도 창녕군 창녕읍 말흘리 289
44133-7252,주공아파트,0,9.587,5.688,5.688,0,0,0,충청남도 천안시 서북구 백석3로 70,충청남도 천안시 서북구 백석동 910
44133-7141,주공6단지아파트,0,392.01,948.76,674.34,0,0,0,충청남도 천안시 서북구 쌍용대로 289-28,충청남도 천안시 서북구 성정동 787
44133-21173,주공아파트 상가,0,476.59,1009.05,744.52,177.84,0,0,충청남도 천안시 서북구 쌍용11길 57,충청남도 천안시 서북구 쌍용동 1284
44790-100185791,휴먼시아,0,0,555.05,155.86,0,0,0,충청남도 청양군 청양읍 고리섬들길 53,충청남도 청양군 청양읍 읍내리 476
42110-17350,공중변소,0,12,12,12,0,1,0,강원도 춘천시 후석로228번길 47,강원도 춘천시 후평동 899
42190-100172647,태백철암주공아파트,0,473.036,5483.834,5426.902,0,91,0,강원도 태백시 삼방길 40,강원도 태백시 철암동 467
48220-16100,충무도남주공아파트,0,738.72,9507.785,8751.835,0,234,0,경상남도 통영시 발개로 153,경상남도 통영시 도남동 483-2
44800-100183170,홍성남장2주공아파트,0,495.471,6700.169,6685.663,0,90,0,충청남도 홍성군 홍성읍 문화로72번길 72,충청남도 홍성군 홍성읍 남장리 522
50110-100202557,제주삼화휴먼시아1단지,0,353.58,3253.27,3253.27,0,44,0,제주특별자치도 제주시 화삼북로2길 12,제주특별자치도 제주시 화북일동 1002-1
43150-100189501,강저휴먼시아3단지,0,415.628,5412.138,5374.821,0,88,0,충청북도 제천시 청풍호로10길 18,충청북도 제천시 강제동 898
46130-100202445,죽림휴먼시아,0,450.43,6675.53,6590.77,0,90,0,전라남도 여수시 소라면 덕양로 97-9,전라남도 여수시 소라면 죽림리 1102
46130-100201102,죽림휴먼시아,0,379.37,4561.1,4561.1,0,60,0,전라남도 여수시 소라면 죽림로 38,전라남도 여수시 소라면 죽림리 1123
47830-100190035,다산휴먼시아3단지,0,507.22,4700.72,4700.72,0,70,0,경상북도 고령군 다산면 평리6길 30,경상북도 고령군 다산면 곽촌리 357
45770-100179008,풍산고령자국민임대주택,0,570.18,2207.08,1742.32,0,24,0,전라북도 순창군 풍산면 풍산로 499,전라북도 순창군 풍산면 대가리 1678
45190-100185242,금동(2) 휴먼시아,0,537.81,6141.51,6141.51,0,116,0,전라북도 남원시 가방뜰길 57,전라북도 남원시 금동 586
42130-100205994,원주무실8단지엘에이치아파트,0,429.92,4530.72,4530.72,0,78,0,강원도 원주시 무실로 300,강원도 원주시 무실동 1790
48240-100188175,용현휴먼시아,0,10.44,9.82,9.82,0,0,0,경상남도 사천시 용현면 진삼로 580,경상남도 사천시 용현면 송지리 1320
43750-100186213,진천벽암휴먼시아,0,458,5208.68,5208.68,0,84,0,충청북도 진천군 진천읍 문화로 237-19,충청북도 진천군 진천읍 벽암리 581
26440-100197185,부산지사휴먼시아,0,680.12,8215.07,8215.07,0,135,0,부산광역시 강서구 과학산단2로20번길 35,부산광역시 강서구 지사동 1183-1
29170-100198795,첨단휴먼시아,0,516.66,6033.53,6033.53,0,104,0,광주광역시 북구 첨단연신로 250,광주광역시 북구 신용동 667
29170-100199647,첨단휴먼시아,0,533.15,4474.19,4474.19,0,82,0,광주광역시 북구 첨단연신로 245,광주광역시 북구 신용동 679
47190-100213428,구미옥계휴먼시아 2단지,0,486.09,11191.17,10829.54,0,172,0,경상북도 구미시 옥계북로 43-52,경상북도 구미시 옥계동 905
46840-100197014,무안성내휴먼시아,0,237.95,2609.04,0,0,0,0,전라남도 무안군 무안읍 공항로 75-9,전라남도 무안군 무안읍 성내리 387
41465-100259183,휴먼시아아파트,0,703.25,13148.93,13148.93,0,207,0,경기도 용인시 수지구 광교마을로 90,경기도 용인시 수지구 상현동 1135
42150-17560,회산주공아파트,0,226.24,226.24,226.24,0,0,0,강원도 강릉시 강변로 94,강원도 강릉시 회산동 602
47290-100186697,사동휴먼시아1단지,0,521.564,7002.258,6937.062,0,90,0,경상북도 경산시 백자로10길 57,경상북도 경산시 사동 180
47290-100184414,사동휴먼시아2단지,0,435.744,5894.619,5879.49,0,90,0,경상북도 경산시 솔숲길 100,경상북도 경산시 평산동 695
47290-100184095,진량 휴먼시아,0,391.542,4320.232,4320.232,0,56,0,경상북도 경산시 진량읍 금호강변로 830-3,경상북도 경산시 진량읍 부기리 715
47830-2991,고령다산주공아파트,0,37.38,37.38,37.38,0,0,0,경상북도 고령군 다산면 상곡길 28,경상북도 고령군 다산면 상곡리 162-7
45790-100177938,고창읍내휴먼시아,0,527.455,5582.717,5582.717,0,72,0,전라북도 고창군 고창읍 성산로 19,전라북도 고창군 고창읍 읍내리 1222
26710-100186658,고촌휴먼시아1,0,426.687,5639.425,5624.928,0,86,0,부산광역시 기장군 철마면 고촌로44번길 16,부산광역시 기장군 철마면 고촌리 615
41210-100176056,휴먼시아,0,518.853,6597.519,6577.938,0,84,0,경기도 광명시 소하로 161,경기도 광명시 소하동 1324
46230-5645,마동주공아파트,0,330.66,330.66,330.66,0,1,0,전라남도 광양시 진등6길 31,전라남도 광양시 마동 1030
29155-1973,송화마을휴먼시아,0,0,2487.263,0,0,0,0,광주광역시 남구 효우로60번길 50,광주광역시 남구 노대동 725
29155-1996,송화마을휴먼시아,0,0,351.414,351.414,0,0,0,광주광역시 남구 효우로60번길 37,광주광역시 남구 노대동 726
29155-1894,송화마을휴먼시아,0,9.81,9.81,9.81,0,0,0,광주광역시 남구 효우로60번길 10,광주광역시 남구 노대동 731
29200-100199701,아름마을 휴먼시아,0,392.646,3409.754,3395.457,0,60,0,광주광역시 광산구 수등로123번길 22,광주광역시 광산구 신가동 1064
29200-100203456,장자울마을 휴먼시아,0,524.923,6504.203,6489.697,0,84,0,광주광역시 광산구 풍영로145번길 42,광주광역시 광산구 흑석동 504
29170-61550,신용주공아파트,0,0,276,0,0,0,0,광주광역시 북구 연양로7번길 58,광주광역시 북구 신용동 647
29170-61285,연제주공아파트,0,0,2428.237,0,0,0,0,광주광역시 북구 양산제로 110,광주광역시 북구 연제동 11
29170-62177,용두2주공아파트,0,254.435,225.855,225.855,0,6,0,광주광역시 북구 하서로483번길 22,광주광역시 북구 용두동 1089
29170-23506,주공아파트,0,20.25,20.25,20.25,0,0,0,광주광역시 북구 매곡로 20,광주광역시 북구 용봉동 1461
45130-7757, ,0,11.04,11.04,11.04,0,0,1,전라북도 군산시 미원로 61,전라북도 군산시 삼학동 888
44710-100184840,주공아파트,0,976.6,6987.056,6718.4,23.91,98,0,충청남도 금산군 금산읍 비단로 338,충청남도 금산군 금산읍 상리 312
47150-18353,주공아파트,0,10.44,10.44,10.44,0,0,0,경상북도 김천시 무실7길 38,경상북도 김천시 덕곡동 767
48250-102013553,율곡마을 주공2단지아파트,0,375.608,7765.297,7752.436,0,99,0,경상남도 김해시 율하1로 7,경상남도 김해시 율하동 1291
48250-14882,월산마을14단지주공아파트,0,9.587,5.688,5.688,0,0,0,경상남도 김해시 월산로 81-14,경상남도 김해시 부곡동 805-4
48250-14659,월산마을11단지주공아파트,0,10.4,2839.01,0,0,0,0,경상남도 김해시 월산로 103,경상남도 김해시 부곡동 805-1
