관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
50110-16997,아름마을,0,0,1659.36,0,0,0,0,제주특별자치도 제주시 우정로18길 25,제주특별자치도 제주시 외도일동 641-1
41463-100185605,휴먼시아 물푸레마을,0,450.574,5991.278,5906.133,0,90,0,경기도 용인시 기흥구 구성2로 52,경기도 용인시 기흥구 청덕동 513
41463-100189186,휴먼시아 물푸레마을,0,0,356.491,0,0,0,0,경기도 용인시 기흥구 구성로 392,경기도 용인시 기흥구 청덕동 569
41465-182928,성현마을,0,263.705,2815.812,2764.416,0,38,0,경기도 용인시 수지구 죽전로193번길 11,경기도 용인시 수지구 죽전동 1233
41465-182954,도담마을,0,484.792,6417.44,6376.316,0,102,0,경기도 용인시 수지구 죽전로27번길 60,경기도 용인시 수지구 죽전동 1279
41463-100196110,휴먼시아 흥덕마을,0,527.363,7011.046,6996.255,0,90,0,경기도 용인시 기흥구 흥덕1로79번길 7,경기도 용인시 기흥구 영덕동 980
31710-19413,구영1주공아파트,0,0,2237.72,0,0,0,0,울산광역시 울주군 범서읍 대리로 43,울산광역시 울주군 범서읍 구영리 212
48250-102023596,율현마을 주공13단지아파트,0,515.496,9058.122,8994.865,0,118,0,경상남도 김해시 율하2로 164,경상남도 김해시 율하동 1403
43770-19783,음성대소주공아파트,0,8.843,8.843,8.843,0,0,0,충청북도 음성군 대소면 오태로 115-12,충청북도 음성군 대소면 오산리 155
41430-6220,휴먼시아 청계마을,0,225.224,225.224,225.224,0,0,0,경기도 의왕시 청계1로 10,경기도 의왕시 청계동 971
43150-15442,제천장락4주공아파트,0,774.236,9483.186,9445.304,0,164,164,충청북도 제천시 내토로59길 7,충청북도 제천시 장락동 1043
43750-11431,진천덕산주공아파트,0,10.12,194.88,0,0,0,0,충청북도 진천군 덕산읍 용몽1길 11,충청북도 진천군 덕산읍 용몽리 1052
43750-3717,진천신정주공아파트,0,14.973,9,9,0,0,0,충청북도 진천군 진천읍 문화2길 14,충청북도 진천군 진천읍 신정리 824
47820-100188813,범곡휴먼시아,0,392.02,3399.58,3399.58,0,44,0,경상북도 청도군 화양읍 범곡길 3-11,경상북도 청도군 화양읍 범곡리 422
42110-21227,퇴계7단지주공아파트,0,14.973,9,9,0,0,0,강원도 춘천시 승지골길16번길 14,강원도 춘천시 퇴계동 1025
41220-13226,반지마을주공아파트,0,0,5231.081,0,0,0,0,경기도 평택시 이충로 38,경기도 평택시 이충동 688
41820-100188947,휴먼시아,0,720.37,5558.64,5490.71,0,95,0,경기도 가평군 가평읍 가화로 164,경기도 가평군 가평읍 읍내리 234
43112-100207671,성화 휴먼시아5단지,0,0,2013.592,0,0,0,0,충청북도 청주시 서원구 성봉로 93,충청북도 청주시 서원구 성화동 897
48330-100204127,평산휴먼시아,0,388.84,4715.37,4649.85,0,60,0,경상남도 양산시 배움터길 11,경상남도 양산시 평산동 347
41430-100183409,포일 숲속마을 휴먼시아,0,551.423,5282.353,5282.353,0,84,0,경기도 의왕시 포일세거리로 23,경기도 의왕시 포일동 658
29200-100226723,광주선운휴먼시아,0,524.29,5061.6,4981.18,0,94,0,광주광역시 광산구 선운중앙로 68,광주광역시 광산구 선암동 540
26710-100204831,정관신도시엘에이치4단지,0,637.97,7985.43,7947.03,0,105,0,부산광역시 기장군 정관읍 산단4로 160,부산광역시 기장군 정관읍 달산리 1231
41220-100226659,휴먼시아1단지,0,458.25,7174.04,7174.04,0,118,0,경기도 평택시 경기대로 506,경기도 평택시 비전동 1005
48170-100210464,평거엘에이치5단지,0,554.36,6937.26,6937.26,0,90,0,경상남도 진주시 새평거로 70,경상남도 진주시 평거동 802
47130-100234317,경주안강엘에이치아파트,0,410.47,3894.05,3894.05,0,70,0,경상북도 경주시 안강읍 안강중앙로 141,경상북도 경주시 안강읍 산대리 2435
30200-100246516,엘에이치네이처뷰,0,582.54,7357.1,7104.51,0,98,0,대전광역시 유성구 지족로148번길 22,대전광역시 유성구 지족동 1050
47150-100228397,경북혁신엘에이치천년나무3단지,0,411.25,5546.33,5376.6,0,54,0,경상북도 김천시 용전3로 10,경상북도 김천시 율곡동 768
42130-100258705,푸른숨엘에이치3단지,0,180.13,164.35,164.35,0,0,0,강원도 원주시 배울로 50,강원도 원주시 반곡동 2047-4
31110-100195412,우정엘에이치1단지,0,480.14,3972.66,3972.66,0,58,0,울산광역시 중구 종가로 668-9,울산광역시 중구 서동 617
41360-100257790,미리내마을4-4단지,0,20.25,20.25,20.25,0,0,0,경기도 남양주시 별내3로 23,경기도 남양주시 별내동 1037
47250-100217231,상주무양엘에이치7단지,0,522.58,6091.89,6091.89,0,101,0,경상북도 상주시 동수4길 55,경상북도 상주시 무양동 300
41220-100268248,엘에이치이곡마을3단지,0,0,15.55,15.55,0,0,0,경기도 평택시 비전2로 70,경기도 평택시 비전동 1008
47720-100199427,군위서부엘에이치천년나무1단지,0,609.27,6876.44,6825.62,0,106,0,경상북도 군위군 군위읍 동산새길 50,경상북도 군위군 군위읍 서부리 120
44230-100225491,엘에이치논산내동1단지,0,287.82,269.1,0,0,0,0,충청남도 논산시 시민로132번길 10,충청남도 논산시 내동 1108
41220-100311293,이곡마을6단지,0,0,115.81,0,0,0,0,경기도 평택시 평남로 962,경기도 평택시 비전동 968
48125-3000129187,창원현동엘에이치아파트,0,188.13,184.66,0,0,0,0,경상남도 창원시 마산합포구 현동3길 1,경상남도 창원시 마산합포구 우산동 100
27710-100246702,대구테크노폴리스엘에이치천년나무1단지,0,0,24779.12,0,0,0,0,대구광역시 달성군 현풍읍 테크노북로2길 10,대구광역시 달성군 현풍읍 중리 487
48730-100214653,함안도항엘에이치3단지아파트,0,487.9,3373.52,3358.39,0,70,0,경상남도 함안군 가야읍 성내북길 77,경상남도 함안군 가야읍 도항리 306
42130-100281604,원주흥업엘에이치천년나무2,0,328.23,323.13,323.13,0,0,0,강원도 원주시 흥업면 남원로 52,강원도 원주시 흥업면 흥업리 1841
48250-102148799,센텀큐브,0,1795.57,31585.78,10259.43,0,76,0,경상남도 김해시 진영읍 김해대로 461,경상남도 김해시 진영읍 여래리 971
41360-100324165,별사랑마을2-5단지,0,274.1,204.33,204.33,0,0,0,경기도 남양주시 별내5로 189,경기도 남양주시 별내동 897
36110-5000136930,새뜸마을8단지,0,246.94,640.24,0,0,0,0,세종특별자치시 새롬중앙로 20,세종특별자치시 새롬동 607
43150-100267567,제천강저리슈빌엔에이치에프,0,449.42,433.39,433.39,0,0,0,충청북도 제천시 청풍호로7길 76,충청북도 제천시 영천동 2234
42110-100267779,춘천우두엘에이치천년나무1단지,0,3.47,154.32,0,0,0,0,강원도 춘천시 우두로 130,강원도 춘천시 우두동 1086
42150-100260963,엘에이치미디어촌5단지,0,23.52,23.52,23.52,0,0,0,강원도 강릉시 선수촌로 11,강원도 강릉시 홍제동 1039
48250-102149465,김해진영엘에이치천년나무2단지,0,0,123.62,0,0,0,0,경상남도 김해시 진영읍 김해대로 464-48,경상남도 김해시 진영읍 여래리 984
48330-100311829,양산물금엘에이치천년나무아파트,0,58.53,249.58,249.58,0,0,0,경상남도 양산시 물금읍 청운로 42,경상남도 양산시 물금읍 물금리 896-1
36110-5000152676,호려울마을2단지,0,0,295.96,0,0,0,0,세종특별자치시 보람1길 12,세종특별자치시 보람동 732
41461-100416835,용인김량장행복주택,0,0,55.95,0,0,0,0,경기도 용인시 처인구 금령로40번길 15-5,경기도 용인시 처인구 김량장동 338-7
30140-100213999,대전목동엘에이치행복주택2단지,0,0,79.34,0,0,0,0,대전광역시 중구 목중로39번길 35-14,대전광역시 중구 목동 363-3
27290-100271236,대구대곡수목원풍경그린,0,160.31,106.23,106.23,0,0,0,대구광역시 달서구 갈밭남로 64,대구광역시 달서구 대곡동 1138
