도로명주소,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율
경상북도 김천시 무실7길 38,11070.0,2.12,1.04,2.213219616204691,1.2751454696591853,1.0068702290076337,0.6305916305916306,0.17570009033423667,0.24724480578139116,0.4749774164408311,0.1020776874435411
경상남도 김해시 율하1로 7,72820.0,2.77,0.98,2.045125348189415,0.9699232081911263,0.9918337538175541,0.6783042394014963,0.2974045591870365,0.2536391101345784,0.41198846470749795,0.036967865970887116
경상남도 김해시 월산로 81-14,57078.0,2.62,0.99,1.7169278191625996,1.0817393903167962,0.9900662251655629,0.6427230046948357,0.23133256245839026,0.24406951890395598,0.4632958407792845,0.06130207785836925
경상남도 김해시 월산로 103,57078.0,2.62,0.99,1.7169278191625996,1.0817393903167962,0.9900662251655629,0.6427230046948357,0.23133256245839026,0.24406951890395598,0.4632958407792845,0.06130207785836925
경상남도 김해시 진영읍 김해대로 462,55651.0,2.33,1.06,2.178402166553825,1.1465919701213818,1.0881241787122207,0.6799329702555509,0.2232125208891125,0.24786616592693753,0.4568651057483244,0.0720562074356256
경기도 남양주시 진접읍 금강로 1554-20,92857.0,2.49,1.02,1.816252494104843,1.057097224995009,1.0455518332402753,0.7253276792598303,0.20822339726676503,0.2219326491271525,0.47344842068987797,0.0963955329162045
경기도 남양주시 진접읍 해밀예당3로 67,92857.0,2.49,1.02,1.816252494104843,1.057097224995009,1.0455518332402753,0.7253276792598303,0.20822339726676503,0.2219326491271525,0.47344842068987797,0.0963955329162045
경기도 남양주시 진접읍 해밀예당3로 37,92857.0,2.49,1.02,1.816252494104843,1.057097224995009,1.0455518332402753,0.7253276792598303,0.20822339726676503,0.2219326491271525,0.47344842068987797,0.0963955329162045
경기도 남양주시 퇴계원읍 퇴계원로 120-11,29406.0,2.42,1.0,1.7662551440329217,1.1491254076489772,0.9801872710001357,0.739648033126294,0.14296402094810584,0.246514316806094,0.4962252601509896,0.11429640209481058
경기도 남양주시 퇴계원읍 도제원로 116,29406.0,2.42,1.0,1.7662551440329217,1.1491254076489772,0.9801872710001357,0.739648033126294,0.14296402094810584,0.246514316806094,0.4962252601509896,0.11429640209481058
경기도 남양주시 늘을1로 31,57499.0,2.65,0.95,1.99057412167952,0.9644031451036454,0.9376932941087728,0.6974320803870487,0.23494321640376353,0.2389780691838119,0.4467555957494913,0.07932311866293326
대전광역시 유성구 반석동로 82,31207.0,2.645,0.97,1.9841755997958141,0.9993792675356921,0.9408418657565415,0.7363844393592678,0.24383952318390104,0.25803505623738265,0.43733777678085045,0.060787643797865866
대구광역시 달성군 가창면 가창로216길 25,7859.0,2.08,0.99,2.108108108108108,1.193771626297578,1.0456905503634475,0.7130434782608696,0.111719048224965,0.16134368240234126,0.501336047843237,0.22560122152945666
대구광역시 달성군 다사읍 서재로14길 2,50426.0,2.65,0.98,2.1017126878713737,1.039273441335297,0.9367592279038266,0.7907348242811502,0.23249910760322057,0.24713441478602308,0.4536746916273351,0.06669178598342125
대구광역시 달서구 용산로 88,25946.333333333332,2.486666666666667,0.9966666666666667,1.8295117345562446,1.1503743760399332,0.9407310177705978,0.7339667458432305,0.1654569046364933,0.26565089479566795,0.4938655429797403,0.07502665758809851
