지번주소;도로명주소;건물명;폐지여부
경상북도 의성군 의성읍 상리리 767;경상북도 의성군 의성읍 동서1길 114;상리휴먼시아;존재
충청북도 제천시 강제동 729;충청북도 제천시 청풍호로7길 110;제천강저2휴먼시아;존재
경기도 용인시 기흥구 서천동 743;경기도 용인시 기흥구 서천로128번길 12;서천마을 휴먼시아;존재
경기도 용인시 기흥구 농서동 395;경기도 용인시 기흥구 서천서로 125;서천마을 휴먼시아;존재
충청북도 음성군 삼성면 덕정리 1507;충청북도 음성군 삼성면 덕정로 29-7;음성삼성휴먼시아;존재
전라북도 익산시 함열읍 와리 1539;전라북도 익산시 함열읍 함열5길 28;함열휴먼시아;존재
경상북도 경산시 상방동 292;경상북도 경산시 남매로6길 7;주공아파트;존재
경상북도 고령군 다산면 상곡리 53;경상북도 고령군 다산면 상곡길 85;다산주공2단지아파트;존재
경기도 광명시 소하동 1284;경기도 광명시 소하로 10;휴먼시아1단지아파트;존재
경기도 광명시 소하동 1292;경기도 광명시 소하로 55;휴먼시아4단지아파트;존재
광주광역시 서구 동천동 502;광주광역시 서구 동천로 25;동천마을1단지아파트;존재
광주광역시 남구 노대동 734;광주광역시 남구 효우로60번길 9;송화마을휴먼시아;존재
광주광역시 광산구 흑석동 517;광주광역시 광산구 풍영로145번길 43;장자울마을 휴먼시아;존재
광주광역시 북구 양산동 687;광주광역시 북구 하서로229번길 57;주공아파트;존재
경상북도 구미시 구평동 1088;경상북도 구미시 인동54길 25;구평휴먼시아;존재
경기도 군포시 부곡동 1126;경기도 군포시 송부로291번길 29;휴먼시아;존재
전라북도 김제시 검산동 1050;전라북도 김제시 금성로 140;김제검산(3) 휴먼시아;존재
경기도 남양주시 진접읍 금곡리 995;경기도 남양주시 진접읍 해밀예당1로 295;휴먼시아24단지아파트;존재
대전광역시 유성구 하기동 542;대전광역시 유성구 노은로 358;송림마을아파트4단지;존재
충청남도 논산시 취암동 95;충청남도 논산시 논산대로348번길 7;주공아파트;존재
전라남도 담양군 담양읍 백동리 191;전라남도 담양군 담양읍 미리산길 34;백동주공아파트;존재
대구광역시 달성군 다사읍 매곡리 509;대구광역시 달성군 다사읍 매곡로14길 11;주공아파트;존재
대전광역시 동구 가오동 555;대전광역시 동구 은어송로 116;은어송마을4단지;존재
경기도 동두천시 생연동 831;경기도 동두천시 행선로 112;휴먼시아;존재
강원도 동해시 송정동 1683;강원도 동해시 동해역길 19;송정 LH아파트;존재
전라남도 무안군 삼향읍 남악리 2311;전라남도 무안군 삼향읍 남악4로34번길 7;무안남악3휴먼시아;존재
경기도 부천시 소사본동 408-1;경기도 부천시 은성로 110-1;주공2단지아파트;존재
경기도 부천시 여월동 296;경기도 부천시 소사로 639;여월휴먼시아;존재
강원도 삼척시 건지동 173;강원도 삼척시 엑스포로 174;건지주공아파트;존재
강원도 삼척시 도계읍 흥전리 346;강원도 삼척시 도계읍 도계로 134;삼척도계주공아파트;존재
제주특별자치도 서귀포시 대정읍 하모리 1450;제주특별자치도 서귀포시 대정읍 하모중앙로 6;서귀포대정휴먼시아;존재
부산광역시 해운대구 송정동 929;부산광역시 해운대구 송정1로 20;송정1단지주공아파트;존재
경상남도 양산시 중부동 695-1;경상남도 양산시 양주로 153;양산신도시주공3단지아파트;존재
경기도 양주시 만송동 694;경기도 양주시 고읍북로 15;은빛마을휴먼시아;존재
경기도 양주시 만송동 698;경기도 양주시 고읍로 117-21;은빛마을휴먼시아;존재
경기도 양주시 고암동 580;경기도 양주시 고암길 252-36;조은마을;존재
제주특별자치도 제주시 외도일동 641-1;제주특별자치도 제주시 우정로18길 25;아름마을아파트;존재
경기도 용인시 기흥구 청덕동 513;경기도 용인시 기흥구 구성2로 52;휴먼시아물푸레마을1단지아파트;존재
경기도 용인시 기흥구 청덕동 569;경기도 용인시 기흥구 구성로 392;휴먼시아물푸레마을9단지아파트;존재
경기도 용인시 기흥구 동백동 584;경기도 용인시 기흥구 동백8로131번길 20;백현마을주공9단지아파트;존재
경기도 용인시 수지구 죽전동 1233;경기도 용인시 수지구 죽전로193번길 11;성현마을;존재
경기도 용인시 수지구 죽전동 1279;경기도 용인시 수지구 죽전로27번길 60;도담마을;존재
경기도 용인시 기흥구 영덕동 980;경기도 용인시 기흥구 흥덕1로79번길 7;휴먼시아 흥덕마을1단지;존재
울산광역시 울주군 범서읍 구영리 212;울산광역시 울주군 범서읍 대리로 43;구영1주공아파트;존재
대구광역시 동구 율하동 1621;대구광역시 동구 율하동로8길 16;율하 휴먼시아10단지;존재
대구광역시 동구 율하동 1302;대구광역시 동구 율하서로 59;율하휴먼시아5단지;존재
경상남도 김해시 율하동 1403;경상남도 김해시 율하2로 164;율현마을주공13단지아파트;존재
충청북도 음성군 대소면 오산리 155;충청북도 음성군 대소면 오태로 115-12;음성대소주공아파트;존재
경기도 의왕시 청계동 971;경기도 의왕시 청계1로 10;휴먼시아 청계마을;존재
전라북도 익산시 동산동 1140;전라북도 익산시 동천로1길 7;동산여울휴먼시아;존재
충청북도 제천시 장락동 1043;충청북도 제천시 내토로59길 7;제천장락4주공아파트;존재
충청북도 진천군 덕산읍 용몽리 1052;충청북도 진천군 덕산읍 용몽1길 11;진천덕산주공아파트;존재
충청북도 진천군 진천읍 신정리 824;충청북도 진천군 진천읍 문화2길 14;진천신정주공아파트;존재
경상북도 청도군 화양읍 범곡리 422;경상북도 청도군 화양읍 범곡길 3-11;범곡휴먼시아;존재
강원도 춘천시 퇴계동 1025;강원도 춘천시 승지골길16번길 14;퇴계7단지주공아파트;존재
경기도 평택시 이충동 688;경기도 평택시 이충로 38;반지마을주공아파트;존재
경상북도 안동시 송현동 1145;경상북도 안동시 송현길 16;송현휴먼시아3단지;존재
경기도 가평군 가평읍 읍내리 234;경기도 가평군 가평읍 가화로 164;휴먼시아;존재
충청북도 청주시 서원구 성화동 897;충청북도 청주시 서원구 성봉로 93;성화 휴먼시아5단지;존재
전라북도 익산시 모현동2가 674;전라북도 익산시 선화로1길 25-14;배산휴먼시아4단지;존재
경상남도 양산시 평산동 347;경상남도 양산시 배움터길 11;평산휴먼시아;존재
경기도 의왕시 포일동 658;경기도 의왕시 포일세거리로 23;포일숲속마을휴먼시아;존재
광주광역시 광산구 선암동 540;광주광역시 광산구 선운중앙로 68;광주선운휴먼시아;존재
부산광역시 기장군 정관읍 달산리 1231;부산광역시 기장군 정관읍 산단4로 160;정관신도시 엘에이치 4단지;존재
경기도 평택시 비전동 1005;경기도 평택시 경기대로 506;휴먼시아1단지;존재
경상남도 진주시 평거동 802;경상남도 진주시 새평거로 70;평거엘에이치5단지;존재
경상북도 경주시 안강읍 산대리 2435;경상북도 경주시 안강읍 안강중앙로 141;경주안강엘에이치아파트;존재
대전광역시 유성구 지족동 1050;대전광역시 유성구 지족로148번길 22;엘에이치 네이처뷰;존재
경상북도 김천시 율곡동 768;경상북도 김천시 용전3로 10;경북혁신엘에이치천년나무3단지;존재
강원도 원주시 반곡동 2047-4;강원도 원주시 배울로 50;푸른숨엘에이치3단지;존재
울산광역시 중구 서동 617;울산광역시 중구 종가로 668-9;우정엘에이치1단지;존재
경기도 남양주시 별내동 1037;경기도 남양주시 별내3로 23;미리내마을 4-4단지;존재
경상북도 상주시 무양동 300;경상북도 상주시 동수4길 55;상주무양엘에이치7단지;존재
경기도 평택시 비전동 1008;경기도 평택시 비전2로 70;엘에이치이곡마을3단지;존재
경상북도 군위군 군위읍 서부리 120;경상북도 군위군 군위읍 동산새길 50;군위서부엘에이치천년나무1단지;존재
충청남도 논산시 내동 1108;충청남도 논산시 시민로132번길 10;LH논산내동1단지;존재
경기도 평택시 비전동 968;경기도 평택시 평남로 962;엘에이치 이곡마을 6단지;존재
경상남도 창원시 마산합포구 우산동 100;경상남도 창원시 마산합포구 현동3길 1;창원현동엘에이치아파트;존재
대구광역시 달성군 현풍읍 중리 487;대구광역시 달성군 현풍읍 테크노북로2길 10;대구테크노폴리스엘에이치천년나무1단지;존재
충청북도 음성군 맹동면 동성리 228;충청북도 음성군 맹동면 이수로 31;천년나무1단지;존재
경상남도 함안군 가야읍 도항리 306;경상남도 함안군 가야읍 성내북길 77;함안도항엘에이치3단지;존재
대구광역시 동구 숙천동 381;대구광역시 동구 초례로16길 3;대구신서혁신엘에이치천년나무14단지;존재
강원도 원주시 흥업면 흥업리 1841;강원도 원주시 흥업면 남원로 52;원주 흥업 LH천년나무2;존재
경상남도 김해시 진영읍 여래리 971;경상남도 김해시 진영읍 김해대로 461;센텀큐브;존재
경기도 안성시 아양동 341-1;경기도 안성시 아양로 73;안성서희스타힐스NHF;존재
경기도 남양주시 별내동 897;경기도 남양주시 별내5로 189;별사랑마을2-5단지;존재
세종특별자치시 새롬동 607;세종특별자치시 새롬중앙로 20;새뜸마을8단지;존재
충청북도 제천시 영천동 2234;충청북도 제천시 청풍호로7길 76;;존재
강원도 춘천시 우두동 1086;강원도 춘천시 우두로 130;춘천우두엘에이치천년나무1단지;존재
강원도 강릉시 홍제동 1039;강원도 강릉시 선수촌로 11;엘에이치미디어촌5단지;존재
경상남도 김해시 진영읍 여래리 984;경상남도 김해시 진영읍 김해대로 464-48;LH천년나무 2단지 아파트;존재
경상남도 양산시 물금읍 물금리 896-1;경상남도 양산시 물금읍 청운로 42;양산물금엘에이치천년나무아파트;존재
세종특별자치시 보람동 732;세종특별자치시 보람1길 12;호려울마을2단지;존재
전라남도 함평군 대동면 향교리 1428;전라남도 함평군 대동면 영수길 367;LH 함평향교 1단지;존재
경기도 용인시 처인구 김량장동 338-7;경기도 용인시 처인구 금령로40번길 15-5;;존재
대전광역시 중구 목동 363-3;대전광역시 중구 목중로39번길 35-14;대전목동엘에이치행복주택2단지;존재
대구광역시 달서구 대곡동 1138;대구광역시 달서구 갈밭남로 64;대구대곡수목원풍경그린;존재
경기도 평택시 죽백동 815;경기도 평택시 죽백4로 60;평택 LH 행복주택;존재
광주광역시 남구 노대동 825;광주광역시 남구 노대실로 9;엘에이치 송화마을 8단지;존재
경상남도 창원시 진해구 석동 662;경상남도 창원시 진해구 냉천로 125;창원석동엘에이치아파트;존재
세종특별자치시 조치원읍 서창리 25-1;세종특별자치시 조치원읍 조치원중고길 7;세종서창 행복주택;존재
부산광역시 기장군 정관읍 모전리 717;부산광역시 기장군 정관읍 정관1로 51;;존재
경기도 남양주시 진접읍 장현리 50-3;경기도 남양주시 진접읍 금강로 1530-33;남양주장현5 2BL 행복주택;존재
울산광역시 북구 화봉동 1491-2;울산광역시 북구 박상진4로 56;울산송정엘에이치1단지;존재
충청북도 괴산군 괴산읍 동부리 149;충청북도 괴산군 괴산읍 남산길 43;괴산동부엘에이치행복마을;존재
전라북도 익산시 부송동 1069;전라북도 익산시 무왕로22길 12;익산부송 1 주공아파트;존재
광주광역시 광산구 월계동 869-2;광주광역시 광산구 임방울대로800번길 11-5;광주첨단 LH 3단지;존재
전라남도 여수시 관문동 251-2;전라남도 여수시 관문1길 14;여수관문행복주택;존재
경기도 평택시 청북읍 옥길리 1125;경기도 평택시 청북읍 안청로1길 21;평택청북 LH B12단지;존재
충청북도 충주시 호암동 1067;충청북도 충주시 호암수청1로 30;충주호암 행복주택;존재
제주특별자치도 서귀포시 성산읍 고성리 1141-1;제주특별자치도 서귀포시 성산읍 고성동서로 33;서귀포성산엘에이치아파트;존재
충청북도 충주시 호암동 1066;충청북도 충주시 호암수청2로 56;충주호암1단지;존재
강원도 화천군 화천읍 신읍리 1818;강원도 화천군 화천읍 산천어길 196;공공실버주택;존재
경상남도 창원시 마산합포구 가포동 58-2;경상남도 창원시 마산합포구 가포본동5길 37;창원가포 엘에이치아파트 1단지;존재
전라북도 정읍시 신정동 1494-1;전라북도 정읍시 첨단3로 7;;존재
