관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소,juso,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,행정기관,총인구수,세대당_인구,남자_인구수,여자_인구수,남여_비율,총연령구간인구수,총0~9세,총10~19세,총20~29세,총30~39세,총40~49세,총50~59세,총60~69세,총70~79세,총80~89세,총90~99세,총100세이상,남 인구수,남연령구간인구수,남0~9세,남10~19세,남20~29세,남30~39세,남40~49세,남50~59세,남60~69세,남70~79세,남80~89세,남90~99세,남100세 이상,여_인구수,여연령구간인구수,여0~9세,여10~19세,여20~29세,여30~39세,여40~49세,여50~59세,여60~69세,여70~79세,여80~89세,여90~99세,여100세 이상
30110-100171451,주공삼성타운아파트,0.0,425.74,8170.876,8170.876,0.0,104.0,0.0,대전광역시 동구 우암로 133,대전광역시 동구 삼성동 482,대전광역시동구삼성동,3011069500,대전광역시,동구,삼성동,3011011800,삼성동,20080901,대전광역시동구삼성동,14259.0,2.14,7247.0,7012.0,1.03,14259.0,770.0,1228.0,1524.0,1380.0,2131.0,2501.0,2450.0,1508.0,684.0,82.0,1.0,7247.0,7247.0,376.0,648.0,847.0,747.0,1123.0,1321.0,1200.0,693.0,265.0,26.0,1.0,7012.0,7012.0,394.0,580.0,677.0,633.0,1008.0,1180.0,1250.0,815.0,419.0,56.0,0.0
26230-42872,백양뜨란채,0.0,379.36400000000003,802.913,732.3580000000001,0.0,0.0,0.0,부산광역시 부산진구 백양산로53번길 125,부산광역시 부산진구 당감동 797,부산광역시부산진구당감동,2623067000,부산광역시,부산진구,당감제1동,2623010900,당감동,19950101,부산광역시부산진구당감제1동,23337.0,2.25,11148.0,12189.0,0.91,23337.0,1143.0,1890.0,2879.0,2312.0,3336.0,4296.0,4197.0,2159.0,986.0,137.0,2.0,11148.0,11148.0,553.0,966.0,1559.0,1194.0,1632.0,2014.0,1972.0,915.0,322.0,21.0,0.0,12189.0,12189.0,590.0,924.0,1320.0,1118.0,1704.0,2282.0,2225.0,1244.0,664.0,116.0,2.0
26230-42872,백양뜨란채,0.0,379.36400000000003,802.913,732.3580000000001,0.0,0.0,0.0,부산광역시 부산진구 백양산로53번길 125,부산광역시 부산진구 당감동 797,부산광역시부산진구당감동,2623068000,부산광역시,부산진구,당감제2동,2623010900,당감동,19950101,부산광역시부산진구당감제2동,10312.0,2.22,4942.0,5370.0,0.92,10312.0,741.0,691.0,1320.0,1641.0,1468.0,1459.0,1657.0,925.0,376.0,34.0,0.0,4942.0,4942.0,379.0,351.0,639.0,826.0,743.0,694.0,739.0,409.0,156.0,6.0,0.0,5370.0,5370.0,362.0,340.0,681.0,815.0,725.0,765.0,918.0,516.0,220.0,28.0,0.0
26230-42872,백양뜨란채,0.0,379.36400000000003,802.913,732.3580000000001,0.0,0.0,0.0,부산광역시 부산진구 백양산로53번길 125,부산광역시 부산진구 당감동 797,부산광역시부산진구당감동,2623070000,부산광역시,부산진구,당감제4동,2623010900,당감동,19950101,부산광역시부산진구당감제4동,11427.0,2.23,5598.0,5829.0,0.96,11427.0,655.0,885.0,1250.0,1270.0,1697.0,2175.0,1964.0,1060.0,425.0,46.0,0.0,5598.0,5598.0,343.0,431.0,680.0,663.0,867.0,1058.0,947.0,458.0,144.0,7.0,0.0,5829.0,5829.0,312.0,454.0,570.0,607.0,830.0,1117.0,1017.0,602.0,281.0,39.0,0.0
26530-5972,모라주공영구임대아파트,0.0,6.83,6.83,6.83,0.0,0.0,0.0,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75,부산광역시사상구모라동,2653059100,부산광역시,사상구,모라제1동,2653010200,모라동,19950301,부산광역시사상구모라제1동,28296.0,2.28,14153.0,14143.0,1.0,28296.0,1532.0,1988.0,3627.0,3301.0,3746.0,5397.0,5392.0,2386.0,819.0,91.0,17.0,14153.0,14153.0,763.0,1035.0,1954.0,1789.0,1932.0,2624.0,2608.0,1138.0,291.0,19.0,0.0,14143.0,14143.0,769.0,953.0,1673.0,1512.0,1814.0,2773.0,2784.0,1248.0,528.0,72.0,17.0
26530-5972,모라주공영구임대아파트,0.0,6.83,6.83,6.83,0.0,0.0,0.0,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75,부산광역시사상구모라동,2653059300,부산광역시,사상구,모라제3동,2653010200,모라동,19950301,부산광역시사상구모라제3동,10724.0,1.57,5123.0,5601.0,0.91,10724.0,257.0,431.0,823.0,742.0,1251.0,2099.0,2570.0,1703.0,770.0,74.0,4.0,5123.0,5123.0,131.0,224.0,487.0,403.0,759.0,1100.0,1183.0,624.0,200.0,12.0,0.0,5601.0,5601.0,126.0,207.0,336.0,339.0,492.0,999.0,1387.0,1079.0,570.0,62.0,4.0
26350-23854,해운대주공아파트,0.0,121.134,293.028,242.268,0.0,0.0,0.0,부산광역시 해운대구 대천로67번길 4,부산광역시 해운대구 좌동 1276,부산광역시해운대구좌동,2635055100,부산광역시,해운대구,좌제1동,2635010700,좌동,20031231,부산광역시해운대구좌제1동,18206.0,2.35,8502.0,9704.0,0.88,18206.0,1226.0,1988.0,2792.0,2077.0,3191.0,3194.0,1912.0,1101.0,645.0,77.0,3.0,8502.0,8502.0,618.0,1050.0,1311.0,968.0,1386.0,1564.0,904.0,444.0,224.0,32.0,1.0,9704.0,9704.0,608.0,938.0,1481.0,1109.0,1805.0,1630.0,1008.0,657.0,421.0,45.0,2.0
26350-23854,해운대주공아파트,0.0,121.134,293.028,242.268,0.0,0.0,0.0,부산광역시 해운대구 대천로67번길 4,부산광역시 해운대구 좌동 1276,부산광역시해운대구좌동,2635055200,부산광역시,해운대구,좌제2동,2635010700,좌동,20031231,부산광역시해운대구좌제2동,32162.0,2.29,14821.0,17341.0,0.85,32162.0,2015.0,2830.0,5060.0,4477.0,4936.0,5704.0,3985.0,1967.0,1051.0,135.0,2.0,14821.0,14821.0,1053.0,1436.0,2364.0,2141.0,2179.0,2538.0,1887.0,802.0,384.0,36.0,1.0,17341.0,17341.0,962.0,1394.0,2696.0,2336.0,2757.0,3166.0,2098.0,1165.0,667.0,99.0,1.0
26350-23854,해운대주공아파트,0.0,121.134,293.028,242.268,0.0,0.0,0.0,부산광역시 해운대구 대천로67번길 4,부산광역시 해운대구 좌동 1276,부산광역시해운대구좌동,2635055300,부산광역시,해운대구,좌제3동,2635010700,좌동,20031231,부산광역시해운대구좌제3동,16228.0,2.52,7619.0,8609.0,0.89,16228.0,1055.0,1787.0,1921.0,1628.0,2519.0,2942.0,2315.0,1212.0,744.0,104.0,1.0,7619.0,7619.0,533.0,930.0,1036.0,780.0,1107.0,1357.0,1088.0,492.0,267.0,29.0,0.0,8609.0,8609.0,522.0,857.0,885.0,848.0,1412.0,1585.0,1227.0,720.0,477.0,75.0,1.0
26350-23854,해운대주공아파트,0.0,121.134,293.028,242.268,0.0,0.0,0.0,부산광역시 해운대구 대천로67번길 4,부산광역시 해운대구 좌동 1276,부산광역시해운대구좌동,2635055400,부산광역시,해운대구,좌제4동,2635010700,좌동,20031231,부산광역시해운대구좌제4동,23306.0,2.7,11074.0,12232.0,0.91,23306.0,1724.0,2944.0,2923.0,2421.0,3991.0,4290.0,2788.0,1364.0,764.0,95.0,2.0,11074.0,11074.0,906.0,1497.0,1534.0,1147.0,1732.0,2038.0,1357.0,566.0,275.0,21.0,1.0,12232.0,12232.0,818.0,1447.0,1389.0,1274.0,2259.0,2252.0,1431.0,798.0,489.0,74.0,1.0
50130-100183064,동홍6주공아파트,0.0,452.592,2730.76,2730.76,0.0,49.0,0.0,제주특별자치도 서귀포시 중앙로 198-9,제주특별자치도 서귀포시 동홍동 1312,제주특별자치도서귀포시동홍동,5013051000,제주특별자치도,서귀포시,송산동,5013010500,동홍동,20060701,제주특별자치도서귀포시송산동,4044.0,2.06,2141.0,1903.0,1.13,4044.0,223.0,321.0,423.0,354.0,581.0,747.0,667.0,480.0,216.0,28.0,4.0,2141.0,2141.0,124.0,177.0,234.0,193.0,347.0,417.0,341.0,228.0,75.0,4.0,1.0,1903.0,1903.0,99.0,144.0,189.0,161.0,234.0,330.0,326.0,252.0,141.0,24.0,3.0
50130-100183064,동홍6주공아파트,0.0,452.592,2730.76,2730.76,0.0,49.0,0.0,제주특별자치도 서귀포시 중앙로 198-9,제주특별자치도 서귀포시 동홍동 1312,제주특별자치도서귀포시동홍동,5013057000,제주특별자치도,서귀포시,동홍동,5013010500,동홍동,20060701,제주특별자치도서귀포시동홍동,23205.0,2.44,11316.0,11889.0,0.95,23205.0,2029.0,3129.0,2813.0,2406.0,3908.0,4007.0,2769.0,1447.0,608.0,86.0,3.0,11316.0,11316.0,1007.0,1606.0,1484.0,1181.0,1922.0,1996.0,1258.0,631.0,211.0,20.0,0.0,11889.0,11889.0,1022.0,1523.0,1329.0,1225.0,1986.0,2011.0,1511.0,816.0,397.0,66.0,3.0
