col_comb,cb1,svr,cb2,rf,gb,cb3
"['0~19 인구수', '공가비율*임대료', '남/여_20~39세', '공가수']",136.28513992893463,144.82912542282682,133.76809907715582,139.63990872152172,130.69491598465328,140.01394604737584
"['0~19 인구수', '공가비율*임대료', '총인구수', '공가수']",131.85535171559533,146.56189470476335,129.2949369320153,134.3421582383158,129.54368051400095,134.17627789437068
"['0~19 인구수', '공가비율*임대료', '남/여비율', '공가수']",135.25210690201052,144.82734302594912,132.17609401625796,137.56809617731625,131.27660894678755,131.512415094333
"['0~19 인구수', '공가비율*임대료', '40~69 인구수', '공가수']",130.7599994748213,144.5461025060665,130.90946699518568,132.27261734931932,126.72812933111784,134.2735007325504
"['0~19 인구수', '공가비율*임대료', '세대당_인구', '공가수']",135.51197019235732,144.825396158229,134.10666662916566,134.76896789053305,131.17195018378956,138.13440360991746
"['0~19 인구수', '공가비율*임대료', '임대보증금', '공가수']",125.94180964662405,137.51356819108244,122.70288381061513,124.74932928030125,124.41659867069623,126.34811966886119
"['0~19 인구수', '공가비율*임대료', '상가비율', '공가수']",132.00247154239966,144.81792082284358,129.79531983329355,131.18751758218582,128.56100064528536,131.68888258228455
"['0~19 인구수', '공가비율*임대료', '임대료', '공가수']",123.21209453373315,129.87572383048536,121.74468906543348,123.29883168894762,125.0199465483151,123.88976801133977
"['0~19 인구수', '전용면적/전용면적별세대수', '영구임대', '공가수']",131.55027093875682,135.18644386301904,130.83546044593612,132.96399322401354,130.75116986125772,134.29380583865478
"['0~19 인구수', '전용면적/전용면적별세대수', '전용면적별세대수', '공가수']",128.49063416904224,138.1085141023949,127.3998456627381,129.17353605344599,127.61789748154129,130.57706019637152
"['0~19 인구수', '전용면적/전용면적별세대수', '버스정류장', '공가수']",133.27680345476477,133.8094472814177,128.52975776897514,130.1107194012114,127.51185452228738,133.75074481133615
"['0~19 인구수', '전용면적/전용면적별세대수', '20~39 인구수', '공가수']",127.90818274070614,127.96830406680849,126.6664227508169,129.56563210188278,126.8114290992667,128.4312255420493
"['0~19 인구수', '전용면적/전용면적별세대수', '총세대수', '공가수']",127.8797660603916,135.94266557602745,127.35391834952244,132.71442362332346,130.9977890697288,131.59959866241087
"['0~19 인구수', '전용면적/전용면적별세대수', '지하철역', '공가수']",131.24989798601595,135.31406082948342,129.4259975599488,133.9627186794317,132.59541192071657,131.0186465987692
"['0~19 인구수', '전용면적/전용면적별세대수', '공가비율', '공가수']",129.94203387503498,135.3937466226238,127.54598792082307,134.0818367085297,130.70434601074345,130.99302404843144
"['0~19 인구수', '전용면적/전용면적별세대수', '공공분양', '공가수']",131.3894193925418,135.39416451068846,131.50918095107562,132.0881248540667,131.02955092724474,134.04101242882166
"['0~19 인구수', '전용면적/전용면적별세대수', '행복주택', '공가수']",132.039304296343,135.38636637406663,130.6224410967151,132.1683120952231,130.5446740396539,132.52979315599913
"['0~19 인구수', '전용면적/전용면적별세대수', '국민임대', '공가수']",130.98886318659785,135.32900717383768,129.8218755778492,130.02568654528812,130.10037002047505,133.12999452896548
