old;new
서울특별시 광진구 용마산로8가길 47-5;서울특별시 광진구 중곡동 150-340
서울특별시 광진구 용마산로22길 11-19;서울특별시 광진구 중곡동 18-93
서울특별시 광진구 긴고랑로44길 17;서울특별시 광진구 중곡동 73-101
서울특별시 광진구 긴고랑로40길 25;서울특별시 광진구 중곡동 86-27
서울특별시 광진구 긴고랑로22길 5;서울특별시 광진구 중곡동 46-19
서울특별시 광진구 영화사로16길 12-12;서울특별시 광진구 구의동 22-9 욱현하이브
서울특별시 광진구 긴고랑로27길 15;서울특별시 광진구 중곡동 149-11
서울특별시 광진구 자양로43길 142;서울특별시 광진구 중곡동 81-19
서울특별시 광진구 긴고랑로27길 8;서울특별시 광진구 중곡동 150-186
서울특별시 광진구 천호대로109길 49;서울특별시 광진구 중곡동 160-4 어반하우징
서울특별시 광진구 동일로76가길 8;서울특별시 광진구 중곡동 696-1 인화빌Ⅱ
서울특별시 광진구 영화사로9길 95-15;서울특별시 광진구 중곡동 73-83 쥬빌레
서울특별시 광진구 긴고랑로1길 75;서울특별시 광진구 중곡동 190-5 인화빌Ⅰ
서울특별시 광진구 동일로76나길 28-1;서울특별시 광진구 중곡동 686-13
서울특별시 광진구 용마산로7길 60;서울특별시 광진구 중곡동 150-236 로하스빌
서울특별시 광진구 자양로34길 7;서울특별시 광진구 구의동 68-17 범영HOUSE
서울특별시 광진구 용마산로 73;서울특별시 광진구 중곡동 56-22
서울특별시 광진구 긴고랑로1길 35;서울특별시 광진구 중곡동 235-22
서울특별시 광진구 면목로 196;서울특별시 광진구 중곡동 554-2 원앙 에이스빌
서울특별시 광진구 아차산로46가길 10-3;서울특별시 광진구 자양동 218-9 자양에스하임11
서울특별시 광진구 아차산로 431;서울특별시 광진구 구의동 667 강변에스케이뷰
서울특별시 광진구 긴고랑로4길 21;서울특별시 광진구 중곡동 247-51 휴먼에코빌3차
서울특별시 광진구 구의로12길 17;서울특별시 광진구 구의동 227-31 구의에스하임3
서울특별시 광진구 긴고랑로6길 37;서울특별시 광진구 중곡동 255-9 중곡에스하임월드1
서울특별시 광진구 동일로64길 15;서울특별시 광진구 중곡동 624-5 청년세움숙
서울특별시 광진구 아차산로 345;서울특별시 광진구 자양동 859 래미안프리미어팰리스
서울특별시 광진구 면목로 5;서울특별시 광진구 군자동 48-20 세종빌
서울특별시 광진구 아차산로46길 22-7;서울특별시 광진구 자양동 231-5 자양 에스하임9
서울특별시 광진구 뚝섬로54길 27;서울특별시 광진구 자양동 649-16 자양에스하임10
서울특별시 광진구 자양로13나길 32-13;서울특별시 광진구 자양동 621-44 자양 에스하임 7
서울특별시 광진구 답십리로80길 15;서울특별시 광진구 중곡동 569-2 애플하임
서울특별시 광진구 긴고랑로4길 18;서울특별시 광진구 중곡동 248-26 휴먼에코빌2차
서울특별시 광진구 답십리로78길 41;서울특별시 광진구 중곡동 175-116 중곡빌라
서울특별시 광진구 뚝섬로52나길 29;서울특별시 광진구 자양동 651-4 자양에스하임5
서울특별시 광진구 뚝섬로52마길 50-8;서울특별시 광진구 자양동 643-6 자양에스하임8
서울특별시 광진구 긴고랑로2길 3;서울특별시 광진구 중곡동 248-6 휴먼에코빌1차
서울특별시 광진구 뚝섬로58길 88-8;서울특별시 광진구 자양동 666-24 행복나무
서울특별시 광진구 자양번영로4길 59-7;서울특별시 광진구 자양동 605-15 자양에스하임6
서울특별시 광진구 구의강변로3가길 10;서울특별시 광진구 구의동 587-71 구의 에스하임2
서울특별시 광진구 뚝섬로49길 60;서울특별시 광진구 자양동 622-8 자양에스하임4
서울특별시 광진구 광나루로30나길 15;서울특별시 광진구 구의동 638-5 구의 에스하임 1
서울특별시 광진구 자양번영로3나길 31;서울특별시 광진구 자양동 589-5 지오빌
서울특별시 광진구 자양번영로4길 41-9;서울특별시 광진구 자양동 604-6 자양 에스하임3
서울특별시 광진구 자양번영로2길 53-5;서울특별시 광진구 자양동 595-15 자양 에스하임2
서울특별시 광진구 면목로 88-1;서울특별시 광진구 중곡동 257-46
서울특별시 광진구 뚝섬로52마길 42-9;서울특별시 광진구 자양동 643-16 자양에스하임1
서울특별시 광진구 긴고랑로20길 75-6;서울특별시 광진구 중곡동 141-21
서울특별시 광진구 긴고랑로1길 79;서울특별시 광진구 중곡동 190-9
서울특별시 광진구 영화사로16길 43;서울특별시 광진구 구의동 662 구의동 아차산 한라아파트
서울특별시 광진구 아차산로26길 28;서울특별시 광진구 자양동 13-58
서울특별시 광진구 영화사로9길 95-6;서울특별시 광진구 중곡동 73-79
서울특별시 광진구 자양로44길 135;서울특별시 광진구 구의동 35-9
서울특별시 광진구 뚝섬로51길 5;서울특별시 광진구 자양동 618-35 그린빌라4
서울특별시 광진구 긴고랑로2길 33;서울특별시 광진구 중곡동 253-21
서울특별시 광진구 동일로76가길 47;서울특별시 광진구 중곡동 181-6
서울특별시 광진구 동일로72길 18-10;서울특별시 광진구 중곡동 234-7
서울특별시 광진구 뚝섬로51길 3;서울특별시 광진구 자양동 618-36
서울특별시 광진구 영화사로9나길 10;서울특별시 광진구 중곡동 104-51
서울특별시 광진구 동일로76나길 36-12;서울특별시 광진구 중곡동 685-17
서울특별시 광진구 동일로72길 18-14;서울특별시 광진구 중곡동 234-29
서울특별시 광진구 아차산로65길 85;서울특별시 광진구 구의동 224-5
서울특별시 광진구 영화사로 98-10;서울특별시 광진구 구의동 20-15
서울특별시 광진구 긴고랑로39길 39;서울특별시 광진구 중곡동 66-6
서울특별시 광진구 능동로59길 39-16;서울특별시 광진구 중곡동 169-13 은하수빌라
서울특별시 동대문구 한천로17길 24;서울특별시 동대문구 답십리동 4-41 엘림하우스
서울특별시 동대문구 한천로11다길 84;서울특별시 동대문구 답십리동 27-7 미소홈타운
서울특별시 동대문구 이문로 17;서울특별시 동대문구 회기동 77-7 히든백하우스
서울특별시 동대문구 왕산로 297;서울특별시 동대문구 청량리동 2-6 에이플러스 청량
서울특별시 동대문구 장한로 98;서울특별시 동대문구 장안동 365-9 케이타워
서울특별시 동대문구 장한로14길 76;서울특별시 동대문구 장안동 358-7 자이리버빌
서울특별시 동대문구 답십리로68길 132;서울특별시 동대문구 장안동 397-2
서울특별시 동대문구 장한로26다길 65;서울특별시 동대문구 장안동 339-2 하우징365
서울특별시 동대문구 망우로 91;서울특별시 동대문구 휘경동 77-8
서울특별시 동대문구 이문로 47;서울특별시 동대문구 이문동 341-15 자인M TOWER
서울특별시 동대문구 청계천로13길 21;서울특별시 동대문구 용두동 129-270 빌드아르떼
서울특별시 동대문구 장한로26길 85;서울특별시 동대문구 장안동 333-4
서울특별시 동대문구 제기로 16;서울특별시 동대문구 제기동 135-90 더푸른빌2
서울특별시 동대문구 장한로26다길 7;서울특별시 동대문구 장안동 337-2 월튼파크뷰2차
서울특별시 동대문구 제기로 20;서울특별시 동대문구 제기동 135-7 더푸른빌
서울특별시 동대문구 장한로32길 23-4;서울특별시 동대문구 장안동 326-4 제일빌라
서울특별시 동대문구 한천로28길 5;서울특별시 동대문구 장안동 138-40 시온아트빌
서울특별시 동대문구 한천로30길 12;서울특별시 동대문구 장안동 138-62 시온아트빌
서울특별시 동대문구 한천로30길 8;서울특별시 동대문구 장안동 138-63 시온아트빌
서울특별시 동대문구 한천로28길 9;서울특별시 동대문구 장안동 138-61 시온아트빌
서울특별시 동대문구 한천로32길 36-5;서울특별시 동대문구 장안동 135-6 위드빌
서울특별시 동대문구 장한로21길 19-12;서울특별시 동대문구 장안동 382-14 성진위드빌
서울특별시 동대문구 장한로20길 23;서울특별시 동대문구 장안동 346-21 광진아트빌12차
서울특별시 동대문구 한천로32길 36-6;서울특별시 동대문구 장안동 134-3 장안위드빌
서울특별시 동대문구 장한로26다길 115-1;서울특별시 동대문구 장안동 349-27 자인빌리지
서울특별시 동대문구 장한로26다길 115-3;서울특별시 동대문구 장안동 349-26 자인빌리지
서울특별시 동대문구 장한로26다길 111;서울특별시 동대문구 장안동 349-6 자인빌리지
서울특별시 동대문구 장한로18길 54-22;서울특별시 동대문구 장안동 349-25 자인빌리지
서울특별시 동대문구 홍릉로3길 54;서울특별시 동대문구 제기동 606 경동빌
서울특별시 동대문구 답십리로68길 92;서울특별시 동대문구 장안동 393-4 진성홈타운
서울특별시 동대문구 사가정로23길 20;서울특별시 동대문구 장안동 98-28 주함해븐빌
서울특별시 동대문구 천호대로24길 37;서울특별시 동대문구 용두동 129-125 나눔빌
서울특별시 동대문구 장한로17길 13-7;서울특별시 동대문구 장안동 375-6 한빛빌리지
서울특별시 동대문구 천호대로22길 49;서울특별시 동대문구 용두동 129-152 용두빌
서울특별시 동대문구 경동시장로15길 14;서울특별시 동대문구 제기동 746-4 서울빌리지
서울특별시 동대문구 사가정로 224-7;서울특별시 동대문구 장안동 102-10 온누리주택
서울특별시 동대문구 망우로4길 13;서울특별시 동대문구 휘경동 312-13 수 비젼빌
서울특별시 동대문구 장한로27나길 103;서울특별시 동대문구 장안동 287-4
서울특별시 동대문구 한천로6길 50;서울특별시 동대문구 장안동 408-3
서울특별시 동대문구 사가정로15길 38-3;서울특별시 동대문구 전농동 55-12
서울특별시 동대문구 회기로10길 57;서울특별시 동대문구 회기동 102-43
