old;new
전라남도 목포시 당가두로38번길 11;전라남도 목포시 옥암동 1150 주공아파트
전라남도 목포시 관해로5번길 29;전라남도 목포시 용해동 1032 포미타운주공3단지
충청남도 보령시 지장골길 37;충청남도 보령시 죽정동 781 죽정 주공아파트
부산광역시 기장군 기장읍 소정안길 68;부산광역시 기장군 기장읍 내리 768 내리휴먼시아
전라북도 부안군 부안읍 부풍로 122;전라북도 부안군 부안읍 서외리 630 부안서외주공아파트
경기도 부천시 여월로 65;경기도 부천시 여월동 320 여월휴먼시아2단지아파트
경상남도 사천시 용강길 37;경상남도 사천시 용강동 920 용강2주공아파트
경상남도 사천시 사남면 조동길 60;경상남도 사천시 사남면 월성리 450 진사주공아파트
서울특별시 관악구 난곡로 63;서울특별시 관악구 신림동 1735-2 관악산휴먼시아아파트
충청남도 서천군 서천읍 사곡로 17;충청남도 서천군 서천읍 사곡리 387 휴먼시아아파트
경기도 성남시 중원구 도촌남로 24;경기도 성남시 중원구 도촌동 701 휴먼시아섬마을2단지아파트
경기도 성남시 중원구 도촌남로 69;경기도 성남시 중원구 도촌동 703 휴먼시아섬마을4단지아파트
경기도 성남시 중원구 도촌남로 134;경기도 성남시 중원구 도촌동 707 휴먼시아섬마을8단지아파트
경기도 성남시 중원구 도촌남로 148;경기도 성남시 중원구 도촌동 708 휴먼시아섬마을9단지아파트
경기도 성남시 분당구 대왕판교로644번길 65;경기도 성남시 분당구 삼평동 726 봇들마을5단지아파트
부산광역시 해운대구 해운대로 1188;부산광역시 해운대구 송정동 934 송정2휴먼시아
전라북도 순창군 순창읍 경천1로 102;전라북도 순창군 순창읍 교성리 700 순창경천주공아파트
전라남도 순천시 고지1길 57;전라남도 순천시 가곡동 1032-2 참샘마을휴먼시아
전라남도 순천시 서면 강청길 80;전라남도 순천시 서면 선평리 202-1 주공아파트
전라남도 순천시 팔마1길 26;전라남도 순천시 연향동 1660-1 연향주공아파트
경상북도 안동시 옥서1길 46;경상북도 안동시 옥동 926 옥동6주공아파트
경기도 안산시 단원구 삼일로 13;경기도 안산시 단원구 신길동 1509 휴먼시아
경기도 안산시 단원구 신길로 94;경기도 안산시 단원구 신길동 1561 휴먼시아
경기도 안산시 단원구 신길로 50;경기도 안산시 단원구 신길동 1574 휴먼시아
경기도 안산시 단원구 도일로 26;경기도 안산시 단원구 신길동 1684 휴먼시아
경기도 안산시 상록구 정동1길 7;경기도 안산시 상록구 팔곡일동 681 팔곡마을주공아파트
경상남도 양산시 양주로 58;경상남도 양산시 남부동 605-1 양산물금7단지휴먼시아아파트
경기도 양주시 광적면 삼일로65번길 156;경기도 양주시 광적면 석우리 708-1 양주가납 주공아파트
경기도 양주시 고읍로 64;경기도 양주시 고읍동 452 산내들마을휴먼시아
경기도 양주시 고읍북로 78;경기도 양주시 만송동 701 은빛마을 휴먼시아
경기도 양주시 고읍북로 120;경기도 양주시 만송동 700 은빛마을 휴먼시아
경기도 양주시 고암길 172-14;경기도 양주시 고암동 584 행복한마을
경기도 양주시 백석읍 고릉말로46번길 12;경기도 양주시 백석읍 방성리 888 휴먼시아
전라남도 여수시 덕양로 157;전라남도 여수시 화장동 882 주공3단지아파트
전라남도 영광군 영광읍 물무로 227;전라남도 영광군 영광읍 도동리 360 도동휴먼시아
경상북도 예천군 예천읍 봉덕로 52;경상북도 예천군 예천읍 대심리 430 주공아파트
경기도 용인시 기흥구 구성3로 37;경기도 용인시 기흥구 청덕동 506 휴먼시아물푸레마을2단지아파트
경기도 용인시 기흥구 구성3로 38;경기도 용인시 기흥구 청덕동 503 휴먼시아물푸레마을5단지아파트
경기도 용인시 기흥구 동백8로 103;경기도 용인시 기흥구 동백동 581 백현마을주공7단지아파트
경기도 용인시 기흥구 동백중앙로 41;경기도 용인시 기흥구 중동 1041 초당마을주공아파트
경기도 용인시 기흥구 동백8로 64;경기도 용인시 기흥구 동백동 602 호수마을주공3단지아파트
경기도 용인시 기흥구 한보라1로43번길 23;경기도 용인시 기흥구 보라동 606 한보라마을휴먼시아4단지아파트
경기도 용인시 기흥구 한보라2로 168;경기도 용인시 기흥구 공세동 674 한보라마을휴먼시아7단지아파트
경기도 용인시 기흥구 새천년로16번길 16;경기도 용인시 기흥구 신갈동 707 녹원마을새천년그린빌3단지아파트
경기도 용인시 수지구 대지로 158;경기도 용인시 수지구 죽전동 1226 내대지마을
경기도 용인시 수지구 디지털벨리로 21;경기도 용인시 수지구 죽전동 1367 내대지마을주공아파트
경기도 용인시 기흥구 흥덕1로79번길 7;경기도 용인시 기흥구 영덕동 980 휴먼시아 흥덕마을1단지
경기도 용인시 기흥구 흥덕2로 80;경기도 용인시 기흥구 영덕동 1022 휴먼시아 흥덕마을3단지
경기도 용인시 기흥구 흥덕2로 46;경기도 용인시 기흥구 영덕동 1021 휴먼시아 흥덕마을4단지
울산광역시 울주군 범서읍 점촌3길 23;울산광역시 울주군 범서읍 구영리 855-2 구영2주공아파트
울산광역시 북구 신천로 60;울산광역시 북구 매곡동 857 매곡휴먼시아
경상북도 울진군 울진읍 월변2길 56-21;경상북도 울진군 울진읍 읍내리 370 휴먼시아
강원도 원주시 개운로 20;강원도 원주시 개운동 581-2 원주개운2단지엘에이치아파트
강원도 원주시 남원로606번길 22;강원도 원주시 개운동 586 원주개운3단지엘에이치아파트
강원도 원주시 시청로 40;강원도 원주시 무실동 1716-1 원주무실7주공아파트
강원도 원주시 백간길 16;강원도 원주시 단계동 1096 원주봉화산주공아파트
대구광역시 동구 금호강변로3길 9;대구광역시 동구 율하동 1099 율하휴먼시아15단지
대구광역시 동구 안심로16길 45;대구광역시 동구 율하동 1461 율하 휴먼시아6단지
대구광역시 동구 안심로22길 55;대구광역시 동구 율하동 1464 율하 휴먼시아7단지
경상남도 김해시 율하2로 178;경상남도 김해시 율하동 1404 율현마을주공12단지아파트
충청북도 음성군 금왕읍 무극로324번길 15;충청북도 음성군 금왕읍 무극리 93 금왕3단지주공아파트
경상남도 의령군 의령읍 의병로9길 25-6;경상남도 의령군 의령읍 서동리 238 의령서동 주공아파트
경기도 의왕시 신장승길 12;경기도 의왕시 삼동 556 장안마을주공아파트
경기도 의왕시 청계1로 28;경기도 의왕시 청계동 972 휴먼시아 청계마을
경기도 의왕시 청계1로 9;경기도 의왕시 청계동 980 휴먼시아 청계마을
경기도 이천시 영창로314번길 51;경기도 이천시 갈산동 778 주공아파트
경기도 이천시 영창로 315;경기도 이천시 갈산동 785 휴먼시아
전라북도 익산시 부송1로 123;전라북도 익산시 부송동 1205 익산부송송백마을
전라북도 임실군 임실읍 운수로 33-17;전라북도 임실군 임실읍 이도리 958 임실이도주공아파트
전라남도 장성군 장성읍 문화로 23;전라남도 장성군 장성읍 영천리 1654 영천주공아파트
전라북도 장수군 장수읍 관두길 16;전라북도 장수군 장수읍 장수리 727 장수북동주공아파트
충청남도 서천군 장항읍 장항로 285;충청남도 서천군 장항읍 원수리 907 휴먼시아아파트
전라북도 전주시 완산구 호암로 87;전라북도 전주시 완산구 효자동2가 1316-1 효자휴먼시아5단지아파트
전라북도 전주시 완산구 호암로 88;전라북도 전주시 완산구 효자동2가 1320-1 효자휴먼시아6단지아파트
제주특별자치도 제주시 정존11길 68;제주특별자치도 제주시 노형동 2582-2 정든마을3단지
강원도 정선군 고한읍 고한10길 30;강원도 정선군 고한읍 고한리 65-10 고한주공아파트
강원도 정선군 정선읍 녹송로 23-34;강원도 정선군 정선읍 봉양리 89-1 봉양주공1차아파트
전라북도 정읍시 서부산업도로 409;전라북도 정읍시 농소동 1520 농소주공아파트
전라북도 정읍시 신태인읍 호남철로 32-13;전라북도 정읍시 신태인읍 신태인리 736-1 정읍신태인주공아파트
제주특별자치도 제주시 도련2길 14;제주특별자치도 제주시 도련일동 1618 도련LH아파트
제주특별자치도 제주시 한림읍 대림4길 20;제주특별자치도 제주시 한림읍 대림리 1885 한림주공아파트
충청북도 제천시 청풍호로7길 20;충청북도 제천시 영천동 2227 제천강저휴먼시아1단지
충청북도 제천시 장락로 130;충청북도 제천시 장락동 1040 제천장락3주공아파트
대구광역시 달성군 다사읍 대실역북로1길 6;대구광역시 달성군 다사읍 매곡리 1539 죽곡휴먼시아1단지
충청북도 증평군 증평읍 송산로 53;충청북도 증평군 증평읍 송산리 717 송산휴먼시아 2단지
충청북도 증평군 증평읍 증평로 31-11;충청북도 증평군 증평읍 장동리 925 장동주공아파트
경상남도 진주시 진주대로568번길 12;경상남도 진주시 가좌동 464 주공3차아파트
경상남도 창원시 진해구 진해대로975번길 23;경상남도 창원시 진해구 자은동 760-1 자은3주공아파트
경상남도 창원시 의창구 원이대로82번길 15-15;경상남도 창원시 의창구 도계동 469 도계휴먼시아아파트
부산광역시 해운대구 송정1로 20;부산광역시 해운대구 송정동 929 송정1단지주공아파트
강원도 철원군 동송읍 이평2로10번길 40;강원도 철원군 동송읍 이평리 1555 동송주공아파트
충청북도 청주시 청원구 내수읍 청암로 35;충청북도 청주시 청원구 내수읍 마산리 210 청원내수주공아파트
충청북도 청주시 흥덕구 서현중로32번길 23;충청북도 청주시 흥덕구 가경동 2077 가로수마을휴먼시아아파트
강원도 춘천시 동내면 거두택지길 88;강원도 춘천시 동내면 거두리 1137 춘천거두주공아파트
강원도 춘천시 동면 후석로326번길 96;강원도 춘천시 동면 만천리 976 춘천만천엘에이치아파트
강원도 춘천시 승지골길16번길 48;강원도 춘천시 퇴계동 1036 퇴계8단지주공아파트
강원도 춘천시 안마산로 244;강원도 춘천시 퇴계동 1024 퇴계9단지주공아파트
